Date,Open,High,Low,Close,Volume
2021-06-30,391.43,392.84,391.43,392.23,3808393
2021-06-29,392.06,392.65,391.37,391.87,2937242
2021-06-28,391.41,391.83,390.23,391.7,2434628
2021-06-25,390.29,391.3,389.94,390.89,2882192
2021-06-24,389.29,389.91,389.07,389.45,3007779
2021-06-23,387.76,388.54,387.12,387.24,2420214
2021-06-22,385.66,388.49,384.9,387.65,2723514
2021-06-21,381.95,385.8,381.11,385.6,4419102
2021-06-18,382.23,382.82,379.98,380.28,5245920
2021-06-17,385.05,386.33,382.94,385.39,4092489
2021-06-16,387.83,387.99,383.46,385.53,4222334
2021-06-15,388.54,388.6,386.83,387.66,2421104
2021-06-14,387.62,388.47,386.42,388.47,2267250
2021-06-11,387.41,387.61,386.15,387.5,2256473
2021-06-10,386.28,387.77,385.01,386.83,2629262
2021-06-09,386.5,386.55,384.84,385.05,2987916
2021-06-08,386.42,386.5,383.88,385.65,2402560
2021-06-07,385.94,386.11,384.68,385.59,2517324
2021-06-04,384.25,386.22,384.2,385.92,2645699
2021-06-03,381.62,383.55,380.16,382.45,3413607
2021-06-02,383.89,384.67,382.91,383.92,3230629
2021-06-01,385.92,386.04,382.82,383.27,4418361
2021-05-28,384.46,384.7,383.38,383.57,3393636
2021-05-27,383.72,384.22,382.76,382.82,3036010
2021-05-26,382.53,383.19,381.52,382.65,2660359
2021-05-25,383.84,384.2,381.4,381.96,4058740
2021-05-24,381.15,383.84,380.9,382.76,2982242
2021-05-21,380.69,381.9,378.48,378.94,3591283
2021-05-20,376.05,380.45,375.94,379.22,4808623
2021-05-19,371.58,375.34,370.14,375.23,5120247
2021-05-18,379.71,379.93,376.02,376.21,3149207
2021-05-17,379.36,380.21,377.48,379.49,3806848
2021-05-14,377.29,381.25,377.29,380.41,5202441
2021-05-13,371.73,376.53,371.69,374.66,7236208
2021-05-12,375.53,376.75,369.66,370.25,7758927
2021-05-11,377.23,379.2,374.45,378.34,7128806
2021-05-10,385.83,386.08,381.54,381.68,5982394
2021-05-07,383.46,386.1,382.77,385.45,3540111
2021-05-06,379.72,382.81,377.75,382.72,4768934
2021-05-05,381.18,381.37,379.09,379.63,2334709
2021-05-04,379.98,380.42,375.94,379.56,5522290
2021-05-03,383.0,383.38,381.41,381.89,4208740
