Date,Open,High,Low,Close,Volume
2021-06-30,221.99,222.45,221.76,222.12,3051272
2021-06-29,222.61,222.7,221.77,222.11,4081037
2021-06-28,222.29,222.29,221.17,222.1,3104586
2021-06-25,221.56,222.0,221.22,221.85,2810118
2021-06-24,220.82,221.18,220.6,221.03,2940822
2021-06-23,219.73,220.22,219.44,219.53,2678964
2021-06-22,218.48,219.98,217.83,219.62,2701023
2021-06-21,216.32,218.43,215.73,218.37,3894472
2021-06-18,216.64,216.8,215.18,215.4,4566634
2021-06-17,218.08,218.69,216.6,218.11,3021619
2021-06-16,219.6,219.6,217.03,218.31,3481188
2021-06-15,220.12,220.16,218.8,219.41,3113332
2021-06-14,219.83,220.02,219.01,219.99,3209241
2021-06-11,219.41,219.65,218.76,219.65,2854857
2021-06-10,218.84,219.53,217.84,219.0,2955029
2021-06-09,219.04,219.13,217.99,218.04,2705379
2021-06-08,218.66,218.91,217.31,218.65,2849322
2021-06-07,218.19,218.31,217.68,218.21,2780056
2021-06-04,217.22,218.12,217.11,218.03,2301405
2021-06-03,215.95,216.7,214.74,216.15,2985540
2021-06-02,217.27,217.47,216.54,217.12,3622085
2021-06-01,218.17,218.17,216.46,216.83,3829407
2021-05-28,217.25,217.38,216.67,216.74,2656115
2021-05-27,216.65,216.89,216.24,216.37,2633570
2021-05-26,215.63,216.21,215.14,215.97,3278385
2021-05-25,216.49,216.67,214.86,215.19,3723718
2021-05-24,214.9,216.35,214.59,215.79,2891576
2021-05-21,214.74,215.39,213.38,213.64,3645877
2021-05-20,211.88,214.32,211.85,213.76,3500031
2021-05-19,209.26,211.46,208.45,211.46,6052477
2021-05-18,213.92,214.3,212.01,212.07,3192930
2021-05-17,213.57,214.05,212.41,213.75,4088496
2021-05-14,212.22,214.63,212.17,214.21,4319335
2021-05-13,209.07,211.6,209.02,210.61,5003266
2021-05-12,211.62,212.3,207.92,208.31,5824514
2021-05-11,211.96,213.58,210.71,213.11,5997082
2021-05-10,217.54,217.55,214.71,214.84,4471499
2021-05-07,216.05,217.64,215.75,217.4,3892192
2021-05-06,214.45,215.6,212.75,215.56,4157004
2021-05-05,215.59,215.59,213.95,214.48,2045269
2021-05-04,215.13,215.19,212.48,214.52,4930529
2021-05-03,217.22,217.22,215.95,216.13,3870334
