Date,Open,High,Low,Close,Volume
2021-06-30,14509.85,14526.81,14478.06,14503.95,3872890283
2021-06-29,14509.19,14535.97,14471.38,14528.33,3618049236
2021-06-28,14417.81,14505.19,14417.2,14500.51,3052036137
2021-06-25,14400.81,14409.08,14337.65,14360.39,5678936511
2021-06-24,14357.27,14414.46,14333.7,14369.71,3082511693
2021-06-23,14263.38,14317.66,14246.3,14271.73,3193899582
2021-06-22,14138.29,14269.77,14121.0,14253.27,3025625271
2021-06-21,14047.42,14150.78,13960.04,14141.48,3268820896
2021-06-18,14096.93,14129.21,14009.04,14030.38,4594485938
2021-06-17,13999.13,14196.21,13998.93,14161.35,3256147672
2021-06-16,14085.55,14129.69,13903.73,14039.68,3247014215
2021-06-15,14166.64,14171.02,14052.16,14072.86,3247116138
2021-06-14,14083.47,14175.45,14056.67,14174.14,3199117636
2021-06-11,14030.85,14069.43,14006.59,14069.42,3030623007
2021-06-10,13933.88,14031.19,13904.4,14020.33,3659821267
2021-06-09,13980.23,14003.5,13906.45,13911.75,3962579584
2021-06-08,13946.32,13981.72,13831.98,13924.91,3980214195
2021-06-07,13802.82,13889.11,13784.89,13881.72,3706384533
2021-06-04,13697.25,13826.82,13692.01,13814.49,3518482619
2021-06-03,13655.75,13684.13,13548.93,13614.51,4564587590
2021-06-02,13743.24,13775.89,13689.74,13756.33,4169954461
2021-06-01,13829.05,13836.17,13678.77,13736.48,3426973088
2021-05-28,13792.05,13820.87,13747.61,13748.74,3731313751
2021-05-27,13742.58,13776.52,13701.63,13736.28,4156450513
2021-05-26,13693.94,13750.16,13679.59,13738.0,3438865738
2021-05-25,13721.54,13751.14,13631.8,13657.17,3420633290
2021-05-24,13557.21,13708.85,13551.01,13661.17,2809988437
2021-05-21,13616.19,13616.58,13463.27,13470.99,2928942144
2021-05-20,13356.63,13563.52,13355.71,13535.74,3189559592
2021-05-19,13078.19,13304.61,13072.23,13299.74,3452741655
2021-05-18,13416.9,13485.34,13299.93,13303.64,3561588515
2021-05-17,13368.8,13399.17,13265.4,13379.05,3192149761
2021-05-14,13255.65,13460.88,13242.97,13429.98,3186765928
2021-05-13,13150.94,13247.87,13007.24,13124.99,3587746531
2021-05-12,13215.49,13288.61,13002.54,13031.68,3542869904
2021-05-11,13115.86,13423.31,13107.67,13389.43,3700328603
2021-05-10,13687.59,13687.93,13401.75,13401.86,3860245731
2021-05-07,13723.09,13828.62,13690.75,13752.24,3649834623
2021-05-06,13557.83,13635.73,13439.39,13632.84,4084070335
2021-05-05,13731.13,13753.05,13553.93,13582.42,3853147015
2021-05-04,13774.51,13795.57,13485.59,13633.5,5007707097
2021-05-03,14031.77,14042.12,13881.51,13895.12,4103000448
